Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle
1,120,45,47
1,120,37,25
1,120,59,50
1,120,37,39
1,120,5,14
1,120,24,4
1,120,0,0
1,120,0,0
2,240,95,77
2,240,86,39
2,240,72,82
2,240,20,72
2,240,0,35
2,240,70,32
2,240,0,0
2,240,0,3
